send_date,campaign_name,sends,opens,clicks,conversions,conversion_value
2024-08-01,Onboarding,105,20,4,0,0.0
2024-08-02,Onboarding,245,85,9,0,0.0
2024-08-03,Onboarding,107,25,7,0,0.0
2024-08-04,Onboarding,187,52,14,1,62.86
2024-08-05,Onboarding,170,45,9,0,0.0
2024-08-06,Onboarding,197,34,5,0,0.0
2024-08-07,Onboarding,142,22,3,0,0.0
2024-08-08,Onboarding,163,46,12,1,138.0
2024-08-09,Onboarding,179,21,3,0,0.0
2024-08-10,Onboarding,251,51,10,1,81.32
2024-08-11,Onboarding,187,30,8,1,216.48
2024-08-12,Onboarding,205,33,5,0,0.0
2024-08-13,Onboarding,157,35,4,0,0.0
2024-08-14,Onboarding,100,32,8,0,0.0
2024-08-15,Onboarding,117,34,8,0,0.0
2024-08-16,Onboarding,272,29,5,0,0.0
2024-08-17,Onboarding,83,18,3,0,0.0
2024-08-18,Onboarding,82,16,3,0,0.0
2024-08-19,Onboarding,279,85,14,1,76.94
2024-08-20,Onboarding,234,26,6,0,0.0
2024-08-21,Onboarding,154,39,9,0,0.0
2024-08-22,Onboarding,229,30,4,0,0.0
2024-08-23,Onboarding,289,65,8,0,0.0
2024-08-24,Onboarding,222,58,10,0,0.0
2024-08-25,Onboarding,200,33,8,0,0.0
2024-08-26,Onboarding,62,14,3,0,0.0
2024-08-27,Onboarding,159,27,4,0,0.0
2024-08-28,Onboarding,60,18,4,0,0.0
2024-08-29,Onboarding,182,30,8,0,0.0
2024-08-30,Onboarding,92,11,1,0,0.0
2024-08-31,Onboarding,123,41,6,0,0.0
2024-09-01,Onboarding,109,29,3,0,0.0
2024-09-02,Onboarding,243,34,7,0,0.0
2024-09-03,Onboarding,187,56,5,0,0.0
2024-09-04,Onboarding,102,17,4,0,0.0
2024-09-05,Onboarding,82,25,3,0,0.0
2024-09-06,Onboarding,266,34,9,0,0.0
2024-09-07,Onboarding,85,29,7,0,0.0
2024-09-08,Onboarding,70,20,2,0,0.0
2024-09-09,Onboarding,135,22,4,0,0.0
2024-09-10,Onboarding,230,62,17,0,0.0
2024-09-11,Onboarding,230,68,11,1,215.28
2024-09-12,Onboarding,274,70,20,2,222.96
2024-09-13,Onboarding,200,38,10,1,116.32
2024-09-14,Onboarding,88,19,2,0,0.0
2024-09-15,Onboarding,212,67,19,3,712.08
2024-09-16,Onboarding,50,10,1,0,0.0
2024-09-17,Onboarding,59,12,1,0,0.0
2024-09-18,Onboarding,213,39,8,1,269.47
2024-09-19,Onboarding,265,41,6,0,0.0
2024-09-20,Onboarding,150,37,7,0,0.0
2024-09-21,Onboarding,296,94,23,1,292.34
2024-09-22,Onboarding,133,21,3,0,0.0
2024-09-23,Onboarding,219,28,6,0,0.0
2024-09-24,Onboarding,173,53,14,1,221.81
2024-09-25,Onboarding,57,9,1,0,0.0
