date,campaign_name,clicks,impressions,cost,conversions,conversion_value
2024-08-01,Hire-Intl,97,4522,139.73,1,583.45
2024-08-02,Hire-Intl,30,2169,63.87,1,753.03
2024-08-03,Hire-Intl,105,7420,133.65,4,527.59
2024-08-04,Hire-Intl,147,7930,132.25,2,321.91
2024-08-05,Hire-Intl,187,8008,45.17,2,766.2
2024-08-06,Hire-Intl,182,1456,70.6,1,659.48
2024-08-07,Hire-Intl,188,3473,138.99,0,971.77
2024-08-08,Hire-Intl,15,3581,2.63,1,468.15
2024-08-09,Hire-Intl,98,3178,97.53,2,208.66
2024-08-10,Hire-Intl,151,8744,102.79,2,760.49
2024-08-11,Hire-Intl,79,7538,131.06,4,105.66
2024-08-12,Hire-Intl,33,3684,183.34,3,975.06
2024-08-13,Hire-Intl,158,8512,40.6,3,187.95
2024-08-14,Hire-Intl,71,7031,32.84,2,951.49
2024-08-15,Hire-Intl,147,1772,29.46,0,745.03
2024-08-16,Hire-Intl,61,371,178.82,1,266.76
2024-08-17,Hire-Intl,121,8798,90.53,2,118.33
2024-08-18,Hire-Intl,140,1477,70.89,1,150.62
2024-08-19,Hire-Intl,128,7159,101.59,0,441.34
2024-08-20,Hire-Intl,94,1702,9.83,3,732.0
2024-08-21,Hire-Intl,108,3277,58.8,3,176.65
2024-08-22,Hire-Intl,70,8776,121.49,4,433.57
2024-08-23,Hire-Intl,174,917,129.27,0,219.58
2024-08-24,Hire-Intl,13,684,115.05,1,65.85
2024-08-25,Hire-Intl,25,4613,45.29,4,699.51
2024-08-26,Hire-Intl,103,6521,78.58,1,733.92
2024-08-27,Hire-Intl,177,4495,99.03,1,785.73
2024-08-28,Hire-Intl,88,4818,141.17,2,733.88
2024-08-29,Hire-Intl,24,3132,100.65,5,622.12
2024-08-30,Hire-Intl,189,5102,170.51,5,238.62
2024-08-31,Hire-Intl,80,1237,33.33,2,899.87
2024-09-01,Hire-Intl,36,308,133.21,3,334.05
2024-09-02,Hire-Intl,45,4422,176.25,1,679.2
2024-09-03,Hire-Intl,2,9832,70.43,3,583.16
2024-09-04,Hire-Intl,125,4155,94.51,0,818.93
2024-09-05,Hire-Intl,145,4862,167.07,4,503.15
2024-09-06,Hire-Intl,193,2501,155.05,0,304.6
2024-09-07,Hire-Intl,188,5599,90.52,5,350.78
2024-09-08,Hire-Intl,139,4316,132.68,2,364.29
2024-09-09,Hire-Intl,3,5877,60.23,2,891.37
2024-09-10,Hire-Intl,198,9860,96.87,2,685.78
2024-09-11,Hire-Intl,186,439,29.58,3,856.27
2024-09-12,Hire-Intl,168,2420,71.44,0,244.37
2024-09-13,Hire-Intl,189,7156,71.88,5,89.27
2024-09-14,Hire-Intl,96,1868,193.09,5,678.8
2024-09-15,Hire-Intl,115,8732,34.99,5,348.85
2024-09-16,Hire-Intl,84,6506,117.83,2,309.32
2024-09-17,Hire-Intl,10,9594,104.02,2,834.17
2024-09-18,Hire-Intl,31,7201,159.07,4,968.15
