date,campaign_name,clicks,impressions,cost,conversions,conversion_value
2024-09-15,Brand-Awareness,142,3669,81.72,4,938.83
2024-09-23,Hire-Intl,151,2122,10.64,2,5.09
2024-08-08,Hire-Intl,15,3581,2.63,1,468.15
2024-09-30,Hire-Intl,44,9339,87.16,2,804.38
2024-09-28,Hire-Intl,90,4175,162.34,5,386.24
2024-08-29,Retention,77,658,129.02,5,619.88
2024-09-10,Brand-Awareness,63,8993,59.16,4,394.6
2024-08-15,Brand-Awareness,191,8885,113.61,0,873.26
2024-08-01,Retention,35,3368,50.0,3,554.28
2024-08-27,Brand-Awareness,166,7534,190.61,0,498.91
2024-09-22,Retention,121,8305,70.42,4,899.76
2024-09-19,Hire-Intl,88,4825,22.04,0,498.93
2024-08-17,Retention,1,8045,124.73,1,114.71
2024-09-15,Hire-Intl,115,8732,34.99,5,348.85
2024-09-06,Retention,120,3055,115.21,4,775.4
2024-08-25,Hire-Intl,25,4613,45.29,4,699.51
2024-08-12,Retention,69,1853,66.7,0,821.94
2024-09-29,Hire-Intl,102,1707,178.61,2,597.04
2024-08-14,Hire-Intl,71,7031,32.84,2,951.49
2024-08-29,Hire-Intl,24,3132,100.65,5,622.12
2024-08-08,Brand-Awareness,58,451,186.25,0,773.61
2024-08-16,Retention,172,2635,60.18,2,719.14
2024-09-08,Hire-Intl,139,4316,132.68,2,364.29
2024-08-26,Brand-Awareness,95,2425,7.17,1,698.34
2024-09-03,Hire-Intl,2,9832,70.43,3,583.16
2024-08-26,Hire-Intl,103,6521,78.58,1,733.92
2024-08-04,Brand-Awareness,144,679,69.17,0,949.91
2024-08-12,Hire-Intl,33,3684,183.34,3,975.06
2024-09-16,Retention,51,3306,50.5,3,678.85
2024-08-03,Retention,118,9042,36.67,3,96.04
2024-09-09,Retention,7,2707,46.34,5,106.22
2024-09-13,Brand-Awareness,67,3029,88.76,0,439.91
2024-09-30,Retention,178,1916,116.55,2,653.23
2024-09-05,Brand-Awareness,192,1035,161.48,4,388.11
2024-09-23,Retention,35,1200,87.78,5,376.12
2024-08-15,Hire-Intl,147,1772,29.46,0,745.03
2024-08-19,Retention,63,3447,20.72,0,832.73
2024-09-25,Retention,30,8270,46.11,4,540.54
2024-08-24,Brand-Awareness,159,8066,55.96,1,912.05
2024-09-19,Retention,24,3434,6.65,1,893.29
2024-08-05,Retention,182,5958,93.68,3,466.55
2024-09-18,Hire-Intl,31,7201,159.07,4,968.15
2024-08-11,Retention,195,8587,92.04,0,84.66
2024-08-27,Hire-Intl,177,4495,99.03,1,785.73
2024-09-21,Hire-Intl,74,9244,132.86,2,486.82
2024-09-05,Retention,100,1217,183.23,5,483.74
2024-08-13,Hire-Intl,158,8512,40.6,3,187.95
2024-09-20,Brand-Awareness,112,9600,63.47,4,717.36
2024-09-27,Retention,64,6496,140.65,0,872.44
2024-09-13,Retention,29,713,169.36,0,441.53
2024-08-02,Brand-Awareness,195,1073,27.86,4,816.76
2024-08-31,Brand-Awareness,97,3121,131.99,4,52.26
2024-08-21,Hire-Intl,108,3277,58.8,3,176.65
2024-09-24,Retention,18,9424,15.63,4,298.23
2024-08-24,Retention,43,8480,148.33,4,200.35
2024-09-28,Retention,40,4819,14.96,4,241.4
2024-09-18,Brand-Awareness,161,2958,29.38,4,655.98
2024-09-09,Brand-Awareness,3,4698,159.92,2,85.54
2024-09-22,Hire-Intl,16,4928,3.12,0,217.33
2024-08-07,Hire-Intl,188,3473,138.99,0,971.77
2024-08-31,Retention,117,4636,1.82,1,357.75
2024-08-20,Retention,113,6501,11.13,0,299.92
2024-08-21,Brand-Awareness,77,6111,156.04,2,868.97
2024-09-01,Hire-Intl,36,308,133.21,3,334.05
2024-08-10,Retention,100,2163,80.59,0,462.81
2024-09-29,Brand-Awareness,6,1840,121.81,2,510.8
2024-09-08,Brand-Awareness,97,7756,149.13,1,131.87
2024-08-08,Retention,77,4075,116.06,2,127.27
2024-09-05,Hire-Intl,145,4862,167.07,4,503.15
2024-08-02,Retention,77,5097,17.12,4,927.12
2024-09-16,Brand-Awareness,70,9134,62.81,0,440.44
2024-09-21,Retention,174,8753,99.24,1,570.37
2024-08-30,Hire-Intl,189,5102,170.51,5,238.62
2024-08-28,Hire-Intl,88,4818,141.17,2,733.88
2024-09-25,Brand-Awareness,174,6915,14.28,3,875.85
2024-09-08,Retention,148,5803,116.9,3,67.57
2024-08-10,Hire-Intl,151,8744,102.79,2,760.49
2024-09-16,Hire-Intl,84,6506,117.83,2,309.32
2024-09-28,Brand-Awareness,41,6134,8.92,1,911.87
2024-08-04,Retention,134,7340,138.83,4,934.88
2024-08-05,Hire-Intl,187,8008,45.17,2,766.2
2024-09-17,Brand-Awareness,66,4624,51.91,3,127.22
2024-09-12,Hire-Intl,168,2420,71.44,0,244.37
2024-08-18,Brand-Awareness,62,4890,25.94,3,478.7
2024-08-23,Hire-Intl,174,917,129.27,0,219.58
2024-08-28,Retention,72,7588,24.03,3,11.02
2024-09-20,Retention,92,6785,113.66,0,340.71
2024-08-09,Brand-Awareness,50,8852,121.63,3,681.94
2024-08-09,Retention,139,9366,175.56,0,755.34
2024-08-01,Hire-Intl,97,4522,139.73,1,583.45
2024-08-12,Brand-Awareness,29,7275,23.6,4,982.53
2024-08-27,Retention,27,7701,83.38,3,148.17
